[8/7/21, 6:39:30 PM] Manu G: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[8/7/21, 6:39:30 PM] Manu G: Hi
‎[8/12/21, 6:30:25 AM] Shivam Sharma: ‎image omitted
‎[8/12/21, 6:30:25 AM] Shivam Sharma: ‎image omitted
‎[8/12/21, 6:30:26 AM] Shivam Sharma: ‎image omitted
‎[8/12/21, 6:30:26 AM] Shivam Sharma: ‎image omitted
[8/12/21, 6:30:46 AM] Shivam Sharma: Feeling sardar khan, might delete later wale caption ke sath laga do
‎[8/12/21, 7:14:30 AM] Manu G: ‎GIF omitted
[8/14/21, 6:11:44 AM] Manu G: ‎Missed voice call
[8/17/21, 9:34:18 AM] Shivam Sharma: Snapchat par aao bhaisahab
‎[8/17/21, 5:06:05 PM] Manu G: ‎GIF omitted
[8/17/21, 10:08:25 PM] Shivam Sharma: 🤟🏼
[8/27/21, 8:23:19 AM] Manu G: Hi
[8/27/21, 8:26:56 AM] Shivam Sharma: Hi
[8/27/21, 8:27:30 AM] Manu G: Time kya hua h.🤣
[8/27/21, 9:35:31 AM] Shivam Sharma: Abhi nhi pahucha
[8/27/21, 9:35:38 AM] Shivam Sharma: 29 ko pahchunga
‎[9/2/21, 8:16:44 AM] Shivam Sharma: ‎Contact card omitted
[9/2/21, 8:16:46 AM] Shivam Sharma: Hi This is my US number. Please save it.
‎[9/2/21, 8:37:55 AM] Manu G: ‎GIF omitted
[9/2/21, 8:39:03 AM] Manu G: Kaha ho abhi
[9/2/21, 8:39:09 AM] Shivam Sharma: hotel me hu abhi
[9/2/21, 8:39:21 AM] Shivam Sharma: dhundh rha hu
[9/2/21, 8:39:34 AM] Manu G: W8...
Me headphone dhoondh lu
[9/2/21, 8:39:49 AM] Shivam Sharma: okay
[9/2/21, 8:41:24 AM] Manu G: Rhne do fir
[9/2/21, 8:41:42 AM] Manu G: Sala usa me bhi WiFi slow h
[9/2/21, 8:41:45 AM] Shivam Sharma: ek baar apne apartment me shift ho jau
[9/2/21, 8:41:49 AM] Shivam Sharma: fir karunga aapko
[9/2/21, 8:41:52 AM] Manu G: Is se achha to mera jio fiber hi h.
[9/2/21, 8:41:54 AM] Shivam Sharma: US dikhaunga
‎[9/2/21, 8:42:18 AM] Manu G: ‎GIF omitted
[9/25/21, 4:52:51 PM] Shivam Sharma: Are mere naye number ko add kar dena paarsk me
[9/25/21, 6:11:01 PM] Manu G: Ok
[3/20/22, 3:52:43 AM] Manu G: Hi..
[3/20/22, 3:52:52 AM] Manu G: Happy birthday shivam...
💐💐💐
[3/20/22, 3:54:18 AM] Manu G: ‎Missed voice call
[3/20/22, 3:54:37 AM] Manu G: Subh ho gayi bhaiya jago ab to ...🤣🤣
[3/20/22, 4:41:11 AM] Manu G: ‎Missed voice call
[3/20/22, 10:08:46 AM] Shivam Sharma: Thank you manu g
[3/20/22, 10:08:54 AM] Shivam Sharma: Abhi jaga hu
[3/20/22, 10:09:09 AM] Manu G: Itna late
[3/20/22, 10:09:11 AM] Shivam Sharma: Kal party rakhi thi,
[3/20/22, 10:09:17 AM] Manu G: Ohhh
‎[3/20/22, 10:09:21 AM] Shivam Sharma: ‎image omitted
[3/20/22, 10:09:29 AM] Shivam Sharma: Esa kich tha
[3/20/22, 10:10:24 AM] Manu G: Hmmm chalo maze karo 🙄
[7/31/22, 7:07:50 AM] Manu G: Hi
[7/31/22, 7:56:44 AM] Shivam Sharma: Hello
[7/31/22, 7:56:50 AM] Shivam Sharma: Kaise ho bhaisahab
[7/31/22, 8:04:24 AM] Manu G: Call to kr diya karo kabhi
[7/31/22, 8:05:10 AM] Manu G: ‎Missed voice call
[2/12/23, 6:32:16 AM] Manu G: Hi
[2/14/23, 9:32:05 AM] Shivam Sharma: hello, me aapko call karta hu, abhi job search me thodi watt lagi hui h
[3/19/23, 5:29:21 PM] Manu G: Happy birthday shivam💐💐
[3/19/23, 5:44:13 PM] Shivam Sharma: Thank you bhaiji
[4/2/23, 6:43:47 AM] Manu G: Hi
