[8/13/21, 10:16:30 AM] Vansh: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[8/13/21, 10:16:30 AM] Shivam Sharma: Bhai kanha ho
[8/14/21, 1:57:34 AM] Vansh: Jaipur samrat gate
[8/14/21, 1:58:03 AM] Shivam Sharma: Bhai starbucks me milne aa jaye tumse
[8/14/21, 1:58:19 AM] Shivam Sharma: Miloge naa
[8/14/21, 1:58:37 AM] Vansh: Ha c scheme wali mi
[8/14/21, 1:58:45 AM] Vansh: Kitni baji aaog8
[8/14/21, 1:58:49 AM] Shivam Sharma: Theek h bhai sham tak kab tak miloge
[8/14/21, 1:59:24 AM] Vansh: Aaj na 6 tak
[8/14/21, 2:00:09 AM] Shivam Sharma: Bhai koshish karta hu
[8/14/21, 2:00:15 AM] Shivam Sharma: Sham tak batata hu
[8/14/21, 2:00:18 AM] Vansh: Ok
[8/14/21, 2:00:23 AM] Shivam Sharma: Aaunga tow message kar dunga
[8/14/21, 2:00:50 AM] Vansh: Phone locker mi rahiga
[8/14/21, 2:01:10 AM] Shivam Sharma: Tow bro me aa bhi sakta hu aur nhi bhi
[8/14/21, 2:01:15 AM] Shivam Sharma: Dekhta hu
[8/14/21, 2:01:22 AM] Shivam Sharma: Aa kar mil hi lunga tumse
[8/14/21, 2:01:33 AM] Vansh: 👍
[8/14/21, 2:01:40 AM] Shivam Sharma: 👍
‎[9/2/21, 8:16:44 AM] Shivam Sharma: ‎Contact card omitted
[9/2/21, 8:16:46 AM] Shivam Sharma: Hi This is my US number. Please save it.
[9/2/21, 10:06:34 AM] Vansh: 👍
[9/2/21, 10:06:50 AM] Vansh: Us ?
[9/2/21, 10:28:28 AM] Shivam Sharma: han bhai
[3/18/23, 6:40:46 PM] Vansh: Hi
[3/18/23, 9:43:42 PM] Shivam Sharma: Hey bro
[3/18/23, 9:43:44 PM] Shivam Sharma: Kaisa h
[3/18/23, 11:06:19 PM] Vansh: Bhadiya bhai
[3/19/23, 7:38:31 AM] Vansh: jhotwara mi koi room rent  ki liyi h
[3/19/23, 7:39:17 AM] Shivam Sharma: Bro tu room dhund rha h kya?
[3/19/23, 7:39:29 AM] Vansh: Mere bhaiya
[3/19/23, 7:39:52 AM] Shivam Sharma: Mere ghar me tha bhai, lekin fill ho gya
[3/19/23, 7:40:34 AM] Vansh: Or koi jankar de rha ho rent par room
[3/19/23, 7:40:44 AM] Shivam Sharma: Me puch kar batata hu
[5/26/23, 3:08:47 PM] Shivam Sharma: belated happy birthday bhai
[5/26/23, 7:24:09 PM] Vansh: Thank you 😊 bhai
