[9/2/21, 8:16:44 AM] सुमेधा टिकडी: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
‎[9/2/21, 8:16:44 AM] Shivam Sharma: ‎Contact card omitted
[9/2/21, 8:16:46 AM] Shivam Sharma: Hi This is my US number. Please save it.
[9/2/21, 8:19:28 AM] सुमेधा टिकडी: kah h tu
[9/2/21, 8:19:33 AM] सुमेधा टिकडी: ok
[9/2/21, 8:21:23 AM] सुमेधा टिकडी: ohh hlw
[9/2/21, 8:21:27 AM] सुमेधा टिकडी: where are you right now ?
[9/2/21, 8:21:33 AM] Shivam Sharma: Arizona
[9/2/21, 8:21:32 AM] सुमेधा टिकडी: can you please tell me ?
[9/2/21, 8:21:41 AM] सुमेधा टिकडी: wha kaise
[9/2/21, 8:21:47 AM] Shivam Sharma: Arizona state university
[9/2/21, 8:21:55 AM] सुमेधा टिकडी: ohhh nyc
[9/2/21, 8:22:02 AM] सुमेधा टिकडी: tho masters k liye gya h
[9/2/21, 8:22:10 AM] Shivam Sharma: Han
[9/2/21, 8:22:16 AM] सुमेधा टिकडी: waaoo
[9/2/21, 8:22:17 AM] सुमेधा टिकडी: nyc
[9/2/21, 8:22:20 AM] Shivam Sharma: AI
[9/2/21, 8:22:26 AM] सुमेधा टिकडी: very gud
[9/2/21, 8:23:04 AM] सुमेधा टिकडी: tho TOEFL clear kiya ya GRI
[9/2/21, 8:23:14 AM] सुमेधा टिकडी: meko btana kya kya process follow kiya h
[9/2/21, 8:33:22 AM] Shivam Sharma: mene GRE diya tha and English ke liye IELTS diya tha
[9/2/21, 8:33:33 AM] Shivam Sharma: 1 saal se chal rhi thi process
[9/2/21, 8:34:02 AM] सुमेधा टिकडी: okie
[9/2/21, 8:52:52 AM] सुमेधा टिकडी: coaching wgera li thi kya ?
[9/2/21, 8:53:00 AM] Shivam Sharma: han GRE ki li thi
[9/2/21, 8:53:15 AM] सुमेधा टिकडी: kah se li thi, meko btana
[9/2/21, 8:53:20 AM] सुमेधा टिकडी: tho abi tu chla gya US
[9/2/21, 8:53:49 AM] Shivam Sharma: bangalore se li thi
[9/2/21, 8:53:55 AM] Shivam Sharma: 56k liye the unhone
[9/2/21, 8:53:57 AM] सुमेधा टिकडी: ok
[9/2/21, 8:54:00 AM] सुमेधा टिकडी: ok
[9/2/21, 8:54:02 AM] Shivam Sharma: usme padane, visa interviwe
[9/2/21, 8:54:04 AM] Shivam Sharma: sab tha
[9/2/21, 8:54:12 AM] सुमेधा टिकडी: ok
[9/2/21, 8:54:13 AM] Shivam Sharma: flight me baithane tak
[9/2/21, 8:54:30 AM] सुमेधा टिकडी: ok mtlb 56k m ticket bhi ?
[9/2/21, 8:54:43 AM] Shivam Sharma: nhi
[9/2/21, 8:54:50 AM] Shivam Sharma: 1.5 Lakh ki hui wo tow
[9/2/21, 8:54:55 AM] सुमेधा टिकडी: hn vo hi, tune bola na ye
[9/2/21, 8:54:59 AM] सुमेधा टिकडी: hmm
[9/2/21, 8:55:05 AM] सुमेधा टिकडी: tho university ki feel kitni ?
[9/2/21, 8:55:01 AM] Shivam Sharma: lekin pahle karo tow 50k me bhi ho jaati h
[9/2/21, 8:55:40 AM] सुमेधा टिकडी: pk
[9/2/21, 8:55:48 AM] सुमेधा टिकडी: university ki fee*
[9/2/21, 8:55:53 AM] सुमेधा टिकडी: ok*
[9/2/21, 8:56:11 AM] Shivam Sharma: university ki fee h 50 Lakh for 2 years
[9/2/21, 8:56:17 AM] सुमेधा टिकडी: ok
[9/2/21, 8:56:25 AM] सुमेधा टिकडी: scholarship wgera
[9/2/21, 8:56:53 AM] Shivam Sharma: mil jaati h, mene nhi li, last date nikal gyi thi
[9/2/21, 8:57:05 AM] सुमेधा टिकडी: ok hn tere pas tho bht paisa h
[9/2/21, 8:57:11 AM] सुमेधा टिकडी: teko kya hi zrurt h
[9/2/21, 8:57:20 AM] Shivam Sharma: education loan
[9/2/21, 8:57:24 AM] Shivam Sharma: lene ke baad tow h
[9/2/21, 8:57:52 AM] सुमेधा टिकडी: education loan mil jata h
[9/2/21, 8:57:54 AM] सुमेधा टिकडी: ?
[9/2/21, 8:58:20 AM] Shivam Sharma: han
[9/2/21, 8:58:38 AM] Shivam Sharma: papa ke paas property ho aur working ho tow
[9/2/21, 8:58:46 AM] सुमेधा टिकडी: ohh acha
